# Expression Atlas
# Query: Genes matching: 'default query', specifically  expressed above the expression level cutoff: 0 FPKM in experiment E-GEOD-50191
# Selected columns: 23 (all)
# Timestamp: Mon, 02-Nov-2020 23:33:03
Gene ID	Gene Name	vegetative meristem	internode 6-7	internode 7-8	growth zone of leaf 8	stomatal division zone of leaf 8	symmetrical division zone of leaf 8	mature leaf 8	primary root	root cortex	root differentiation zone	root elongation zone	secondary root	mature pollen	mature female spikelet	2-4 mm from tip of ear primordium	6-8 mm from tip of ear primordium	unpollinated silk	endosperm 12 days after pollination	endosperm crown	pericarp and aleurone	embryo 20 days after pollination	embryo 38 days after pollination	germinated embryo 2 days after imbibition
ENSRNA049458986	snoR77Y	47.0	42.0	29.0	28.0	55.0	43.0	77.0	10.0	14.0	37.0	10.0	8.0	2.0	17.0	24.0	26.0	22.0	16.0	12.0	16.0	27.0	17.0	19.0
ENSRNA049459026	SNORD25	24.0	11.0	20.0	3.0	6.0	8.0	2.0	5.0	7.0	25.0	16.0	9.0		2.0	5.0	5.0	3.0	2.0	0.8	3.0	3.0	1.0	69.0
ENSRNA049459076	snoR30	16.0	25.0	21.0	29.0	40.0	30.0	25.0	8.0	4.0	29.0	3.0	7.0	0.7	7.0	14.0	15.0	4.0	13.0	16.0	13.0	9.0	7.0	14.0
ENSRNA049459101	snoR2	19.0	23.0	18.0	17.0	33.0	30.0	47.0	8.0	23.0	28.0	9.0	6.0		11.0	13.0	16.0	17.0	15.0	6.0	11.0	11.0	7.0	12.0
ENSRNA049459132	SNORD14	32.0	32.0	21.0	17.0	52.0	48.0	50.0	11.0	6.0	59.0	4.0	9.0		1.0	17.0	16.0	0.9	22.0	9.0	11.0	14.0	6.0	14.0
ENSRNA049459156	snoZ107_R87	6.0	13.0	7.0	11.0	12.0	16.0	14.0	4.0	2.0	13.0	0.7	2.0	0.6	4.0	7.0	6.0		9.0	6.0	12.0	7.0	3.0	7.0
ENSRNA049459180	SNORD14	23.0	27.0	13.0	17.0	36.0	32.0	43.0	8.0	7.0	39.0	5.0	6.0		2.0	13.0	10.0	0.9	16.0	7.0	8.0	10.0	5.0	11.0
ENSRNA049459199	U1	0.8	0.4	0.4	0.7	0.8	0.4		0.6	0.4	0.4	0.5		24.0	0.9	0.6	0.5	6.0	0.2			0.7	0.5	2.0
ENSRNA049459267	LSU_rRNA_eukarya	0.3						0.9																
ENSRNA049459300	LSU_rRNA_eukarya							0.2																
ENSRNA049459435	LSU_rRNA_eukarya	0.2				0.4		1.0										1.0						
ENSRNA049459833	snoZ194	0.4	2.0	3.0	4.0	7.0	4.0	0.7	5.0	3.0	9.0	8.0	4.0			5.0	5.0	1.0	0.5		2.0	3.0	2.0	2.0
ENSRNA049459870	snoZ196		0.6	1.0	4.0	5.0	6.0		3.0		7.0	7.0	4.0			0.5	2.0		0.3		2.0	1.0	4.0	2.0
ENSRNA049459930	snoF1_F2	2.0	2.0	2.0	5.0	10.0	3.0		4.0	0.5	10.0	6.0	3.0		1.0	5.0	4.0		0.7		1.0	0.8	3.0	2.0
ENSRNA049460030	snoR126	6.0	2.0	1.0	1.0	2.0	0.6	2.0		0.7	1.0		0.5			2.0	3.0			0.9	2.0	2.0	1.0	0.7
ENSRNA049460066	snoR126	1.0	2.0	0.7	2.0	2.0	1.0	6.0		0.7	0.6					2.0	1.0	0.4		0.7	2.0	0.8	2.0	3.0
ENSRNA049460114	snoR83	2.0	0.5			3.0	3.0	0.6			0.5		0.5			0.9	0.4		0.3			0.3	2.0	
ENSRNA049460169	U1			0.4		0.5		0.3		1.0				0.9	0.5	0.3		1.0	0.2		0.5	1.0	0.4	0.9
ENSRNA049460686	U5	0.7				0.5	0.4		0.4	3.0							0.4					0.3	0.7	1.0
ENSRNA049460705	snoZ221_snoR21b	2.0	0.6	0.6		4.0	4.0		0.6		2.0	2.0	0.5		1.0	0.6	1.0		2.0			2.0		4.0
ENSRNA049460733	snoR86	1.0	0.5	0.5	0.7	1.0	2.0	0.6			0.5						0.4					0.3		4.0
ENSRNA049460753	snoR86	3.0	1.0	1.0	0.7	1.0	2.0	1.0	1.0	1.0	2.0	0.6	0.4			1.0	0.9		0.5			1.0	0.5	5.0
ENSRNA049460770	U1																							0.2
ENSRNA049461441	snoR38	7.0	3.0	3.0	4.0	4.0	4.0	30.0	1.0	3.0	3.0	2.0	1.0		2.0	6.0	9.0	0.4	1.0	3.0	5.0	3.0	5.0	5.0
ENSRNA049461457	snoR20a	7.0	3.0	5.0	5.0	4.0	4.0	19.0	1.0	0.8	2.0	2.0	1.0		2.0	3.0	6.0		0.6	0.8	0.8	5.0	4.0	2.0
ENSRNA049461468	snoZ278	6.0	5.0	2.0	1.0	5.0	4.0	2.0	4.0	1.0	8.0	4.0	1.0			0.8	2.0	0.3	2.0		0.6	5.0	1.0	7.0
ENSRNA049461479	snoU31b	2.0	1.0	2.0	1.0	3.0	3.0	0.6	0.6		3.0	0.9	1.0			2.0	1.0		1.0		0.8	2.0	2.0	2.0
ENSRNA049461505	snoR77Y	2.0	1.0		3.0	2.0	2.0	1.0	2.0		3.0	0.9	0.6			5.0	3.0		1.0			2.0	2.0	4.0
ENSRNA049461520	snoR97	9.0	11.0	7.0	6.0	10.0	11.0	3.0	2.0	3.0	18.0	7.0	3.0			4.0	4.0	1.0	6.0			5.0	2.0	17.0
ENSRNA049461556	snoR97	15.0	19.0	15.0	22.0	65.0	44.0	9.0	14.0	8.0	49.0	14.0	9.0		10.0	34.0	35.0	5.0	9.0	4.0	1.0	15.0	21.0	21.0
ENSRNA049461578	snoZ157	18.0	22.0	16.0	29.0	61.0	59.0	3.0	12.0		53.0	7.0	8.0		1.0	33.0	33.0		12.0	3.0	2.0	17.0	19.0	27.0
ENSRNA049461590	snoR80	17.0	17.0	9.0	16.0	43.0	41.0	5.0	7.0	1.0	34.0	3.0	8.0		1.0	21.0	20.0	2.0	9.0	2.0	5.0	15.0	10.0	13.0
ENSRNA049461612	snoZ157	7.0	3.0	4.0	5.0	5.0	6.0	17.0	1.0	1.0	3.0	3.0	2.0		6.0	9.0	16.0	0.7		2.0	3.0	4.0	7.0	8.0
ENSRNA049461634	snoZ157	15.0	8.0	7.0	13.0	6.0	7.0	21.0	3.0	3.0	5.0	6.0	2.0		11.0	14.0	21.0	4.0	1.0	5.0	5.0	14.0	15.0	13.0
ENSRNA049461681	snoZ223	5.0	5.0	6.0	0.9	5.0	6.0	1.0	4.0		14.0	5.0	3.0			1.0	2.0	2.0	2.0			2.0	4.0	12.0
ENSRNA049461704	snoU36a	2.0	2.0	4.0		4.0	1.0	1.0	2.0		7.0	2.0	1.0			0.6	1.0		1.0			2.0	3.0	6.0
ENSRNA049461717	snoU36a	18.0	15.0	12.0	15.0	57.0	30.0	7.0	10.0	0.8	41.0	6.0	7.0			18.0	15.0	2.0	7.0	3.0	6.0	10.0	14.0	13.0
ENSRNA049461732	snoZ107_R87	4.0	4.0	4.0	4.0	3.0	2.0	7.0	0.9		2.0	1.0	1.0		1.0	2.0	2.0	1.0	0.5	0.6	1.0	3.0	2.0	2.0
ENSRNA049461747	snoZ223	12.0	20.0	13.0	29.0	55.0	39.0	9.0	11.0	0.8	34.0	10.0	7.0		3.0	23.0	20.0		13.0	4.0	9.0	23.0	15.0	17.0
ENSRNA049461765	snoR134	10.0	15.0	8.0	17.0	40.0	35.0	5.0	8.0	2.0	40.0	7.0	9.0		0.5	23.0	21.0	0.7	6.0	3.0	4.0	16.0	14.0	14.0
ENSRNA049462071	U2	3.0	0.3	0.3	0.5	0.4		1.0		3.0	0.3	1.0	0.3	1.0	2.0		0.3	4.0	0.5	0.4		1.0	1.0	0.3
ENSRNA049462250	LSU_rRNA_eukarya	0.4						5.0							0.2			0.7						
ENSRNA049462318	LSU_rRNA_eukarya	0.5			0.7			11.0										1.0					0.5	
ENSRNA049462331	Plant_SRP	4.0	0.4	0.3	2.0	1.0	0.7	2.0	0.7	9.0	0.4	1.0	0.2	0.7	2.0	0.2	0.4	7.0	4.0	0.6	0.5	8.0	0.7	0.9
ENSRNA049462348	LSU_rRNA_eukarya	0.1		0.3				1.0										0.6						
ENSRNA049463024	snoR160	6.0	4.0	4.0	5.0	5.0	7.0	1.0		4.0	2.0	0.8	0.7	1.0		4.0	6.0	0.4	1.0	3.0	1.0	3.0	1.0	3.0
ENSRNA049463047	snoR160	10.0	4.0	4.0	6.0	9.0	10.0	11.0	3.0		4.0	0.9			2.0	6.0	6.0	1.0	3.0		2.0	5.0	6.0	2.0
ENSRNA049463067	snoR160	16.0	4.0	8.0	10.0	11.0	10.0	17.0	1.0	2.0	2.0	0.9	1.0		1.0	6.0	8.0		2.0		2.0	7.0	3.0	3.0
ENSRNA049463085	snoR160	5.0	2.0	4.0	6.0	6.0	6.0	5.0	1.0		1.0	0.9	0.6	0.6		2.0	5.0		0.7	0.9	2.0	2.0	0.7	2.0
ENSRNA049463137	Intron_gpII							1.0																
ENSRNA049463586	snoR12	17.0	10.0	6.0	15.0	55.0	25.0	7.0	3.0	2.0	26.0	5.0	3.0			21.0	21.0	2.0	9.0	2.0	4.0	9.0	6.0	10.0
ENSRNA049463630	SNORD24	22.0	14.0	13.0	22.0	38.0	28.0	5.0	5.0	0.9	26.0	4.0	4.0	0.5		24.0	26.0	2.0	13.0	0.8	4.0	7.0	7.0	11.0
ENSRNA049463667	U1	0.3												1.0								3.0		
ENSRNA049463738	SNOR75	26.0	22.0	18.0	62.0	117.0	58.0	25.0	8.0	10.0	63.0	18.0	11.0		3.0	38.0	39.0	4.0	14.0		8.0	12.0	9.0	32.0
ENSRNA049463761	SNOR75	29.0	27.0	16.0	64.0	111.0	66.0	13.0	13.0	0.8	76.0	16.0	10.0		3.0	46.0	40.0		33.0	1.0	4.0	22.0	13.0	40.0
ENSRNA049463774	U1	7.0	2.0	4.0	2.0	1.0	1.0	3.0	1.0	21.0	0.4	3.0	3.0	11.0	4.0	0.4	0.6	25.0	0.7	0.6	2.0	2.0	1.0	6.0
ENSRNA049463790	U1													2.0										
ENSRNA049463813	U1	3.0	1.0	0.4	2.0	2.0	0.4	1.0	0.3	5.0	0.7	0.8	0.3		2.0	1.0	0.5	7.0		0.7	0.7	2.0	0.5	1.0
ENSRNA049463828	U1							0.4														0.2		0.4
ENSRNA049463846	U1	0.5	0.7	0.4	0.7	0.4	0.4	1.0	0.3	10.0	0.3	2.0	0.6	2.0	0.8			4.0	0.5			1.0	0.5	2.0
ENSRNA049463865	U1	0.3																				0.2		
ENSRNA049464122	snoZ152	2.0	0.6	1.0	3.0	5.0	4.0	0.7	0.5		3.0	0.6	0.5			4.0	4.0		3.0	0.7	2.0	3.0	3.0	5.0
ENSRNA049464139	snoR11	5.0	2.0	2.0	2.0	3.0	4.0	2.0	1.0	1.0	4.0	1.0	1.0			4.0	2.0		5.0	1.0	2.0	4.0	2.0	4.0
ENSRNA049464595	snoU36a	5.0	2.0		8.0	4.0	11.0	45.0	3.0	0.8	3.0	14.0	2.0	1.0		12.0	14.0	2.0	5.0	12.0	28.0	5.0	9.0	13.0
ENSRNA049464622	snoR134	5.0	3.0	2.0	10.0	4.0	10.0	45.0	3.0	0.9	7.0	18.0	2.0	4.0	1.0	21.0	22.0	5.0	5.0	13.0	38.0	7.0	8.0	16.0
ENSRNA049464940	U5													0.6										
ENSRNA049464979	snoZ119	30.0	19.0	17.0	85.0	249.0	113.0	34.0	9.0	8.0	32.0	14.0	7.0	0.7	5.0	58.0	71.0	4.0	15.0	0.9	6.0	20.0	20.0	29.0
ENSRNA049464994	U6													0.6										
ENSRNA049465015	U6													0.4										
ENSRNA049465110	LSU_rRNA_eukarya	0.3	0.1	0.1				4.0						0.2				0.4						
ENSRNA049465132	U1	2.0	0.7	0.4	1.0	2.0	0.4	0.4	0.9	6.0	0.3	0.5	0.3	2.0	0.8	0.4	0.4	3.0	0.6		0.4	1.0	0.4	3.0
ENSRNA049465220	snoR31_Z110_Z27	27.0	27.0	27.0	80.0	84.0	99.0	26.0	16.0	2.0	67.0	11.0	15.0		3.0	36.0	38.0	3.0	14.0	8.0	11.0	13.0	15.0	38.0
ENSRNA049465281	snoR77Y	14.0	22.0	14.0	46.0	44.0	45.0	19.0	11.0	3.0	41.0	8.0	7.0			18.0	23.0	1.0	13.0	5.0	4.0	10.0	6.0	14.0
ENSRNA049465355	snoR2	26.0	23.0	20.0	45.0	68.0	69.0	24.0	15.0	4.0	52.0	16.0	14.0		2.0	23.0	22.0	9.0	17.0	4.0	11.0	22.0	13.0	32.0
ENSRNA049465399	SNORD14	45.0	46.0	33.0	79.0	98.0	113.0	37.0	21.0	7.0	91.0	20.0	15.0		3.0	36.0	34.0	7.0	26.0	5.0	15.0	29.0	12.0	49.0
ENSRNA049465410	SNORD14	93.0	84.0	64.0	111.0	151.0	154.0	40.0	37.0	13.0	138.0	41.0	27.0		21.0	55.0	51.0	52.0	47.0	5.0	15.0	88.0	33.0	78.0
ENSRNA049465449	snoZ112	42.0	20.0	11.0	42.0	56.0	42.0	25.0	13.0	16.0	40.0	20.0	10.0		9.0	20.0	22.0	15.0	11.0	5.0	6.0	15.0	9.0	24.0
ENSRNA049466083	snoR66	9.0	8.0	8.0	33.0	55.0	33.0	8.0	5.0		15.0	4.0	3.0		1.0	28.0	36.0	2.0	9.0		2.0	14.0	6.0	8.0
ENSRNA049466300	snoZ162	7.0	4.0	7.0	4.0	25.0	14.0	1.0	3.0		14.0	0.8	2.0			6.0	5.0		3.0		2.0	4.0	5.0	6.0
ENSRNA049466325	Plant_SRP																		0.1					
ENSRNA049466442	snoR44_J54										0.6					0.5						0.4		
ENSRNA049466569	snoZ199	14.0	5.0	5.0	8.0	13.0	8.0	4.0	2.0		10.0	3.0	3.0			7.0	11.0	2.0	5.0		3.0	3.0	5.0	5.0
ENSRNA049466579	snoR64	13.0	5.0	2.0	10.0	14.0	16.0	5.0	1.0	0.7	11.0	4.0	1.0			9.0	9.0	2.0	4.0		3.0	4.0	10.0	6.0
ENSRNA049466589	MIR167_1	0.1					0.6																	
ENSRNA049466617	snoZ103	79.0	39.0	46.0	53.0	92.0	93.0	38.0	11.0	6.0	81.0	14.0	11.0		3.0	95.0	89.0	11.0	26.0	5.0	13.0	37.0	33.0	47.0
ENSRNA049466632	snoZ103	43.0	23.0	26.0	30.0	46.0	64.0	23.0	7.0	2.0	45.0	10.0	10.0	0.4	3.0	59.0	46.0	4.0	13.0	5.0	11.0	22.0	23.0	25.0
ENSRNA049466642	snoR1	42.0	26.0	18.0	18.0	37.0	35.0	13.0	9.0	1.0	33.0	9.0	4.0		3.0	35.0	42.0	5.0	12.0	5.0	9.0	30.0	26.0	27.0
ENSRNA049466657	SNORD14	25.0	18.0	18.0	15.0	37.0	36.0	9.0	4.0	2.0	30.0	3.0	5.0		2.0	26.0	31.0	2.0	7.0	3.0	5.0	9.0	14.0	17.0
ENSRNA049466664	snoR2	28.0	23.0	14.0	17.0	33.0	36.0	13.0	5.0	2.0	30.0	8.0	5.0		4.0	33.0	38.0	4.0	8.0	2.0	5.0	17.0	17.0	22.0
ENSRNA049466676	snoZ112	49.0	16.0	18.0	21.0	30.0	30.0	12.0	6.0	5.0	28.0	7.0	6.0		5.0	29.0	31.0	4.0	7.0	4.0	4.0	14.0	14.0	28.0
ENSRNA049466686	SSU_rRNA_eukarya	3.0	0.4	1.0	0.6	1.0	0.6	0.9	2.0	0.8		0.8	0.3	1.0	1.0			0.2		1.0	0.5		1.0	
ENSRNA049466693	U2	3.0	0.5	0.3				0.5	0.2	2.0		0.4	0.2	0.2	1.0			4.0	0.7			0.2		
ENSRNA049466701	U2	8.0	0.6	0.3	1.0	0.4	0.9	5.0	0.8	10.0		1.0	1.0	4.0	7.0	0.4	0.5	8.0	5.0		0.4	1.0	0.8	1.0
ENSRNA049466709	U2	2.0	0.3	0.3	0.5	0.3	0.5	0.5	0.3	4.0			0.3	2.0	2.0		0.5	3.0	3.0			0.6		0.4
ENSRNA049467046	SSU_rRNA_eukarya							0.8																
ENSRNA049467153	MIR169_2	0.4													0.6	14.0	10.0							
ENSRNA049467197	mir-166	1.0				2.0	3.0								1.0	3.0	3.0					0.3		
ENSRNA049467206	U4	0.6																						
ENSRNA049467439	U2	10.0	0.9	1.0	0.5	0.9	0.9	6.0	0.5	6.0		1.0	0.5	0.8	13.0	0.8	0.3	8.0	2.0	2.0	2.0	1.0	2.0	0.9
ENSRNA049468238	LSU_rRNA_eukarya					0.1		0.2																
ENSRNA049468327	SNORD25	1.0	2.0			3.0	0.7	2.0	0.6	1.0	0.6	0.8	0.6			0.7			2.0			0.8	0.7	3.0
ENSRNA049468514	snoZ199		0.8	2.0							3.0		0.7			4.0	0.6							1.0
ENSRNA049468582	U5									0.6														
ENSRNA049468588	snoR64	0.4	0.6			0.8	0.6	5.0	0.5		2.0		0.5			0.4	0.9		1.0			0.8		0.6
ENSRNA049468771	SSU_rRNA_eukarya							2.0																
ENSRNA049468913	snoR12	23.0	10.0	7.0	22.0	57.0	33.0	8.0	5.0	2.0	19.0	5.0	3.0			24.0	27.0		19.0	3.0	4.0	17.0	9.0	15.0
ENSRNA049468947	U2													2.0										
ENSRNA049468958	U2													2.0										
ENSRNA049468969	U2													2.0					0.1					
ENSRNA049468983	U2	0.9							0.5	3.0		1.0	0.6	0.7					2.0			0.2		
ENSRNA049469011	U2																		0.2					
ENSRNA049469023	U2	6.0							0.5	14.0		5.0	0.7	0.3				1.0	3.0	0.4	0.4	1.0	0.9	0.3
ENSRNA049469029	U2													0.2					0.3					
ENSRNA049469035	U2													0.3										
ENSRNA049469040	U2													0.2					2.0					
ENSRNA049469667	Plant_U3	1.0			0.3	0.4		0.3	0.2					0.9							0.3			
ENSRNA049469775	enod40	28.0	250.0	105.0	61.0	16.0	5.0	176.0	114.0	15.0		0.8	68.0			0.3	0.2	6.0						
ENSRNA049469950	U6													0.4										
ENSRNA049470085	SSU_rRNA_eukarya	0.1						0.5																
ENSRNA049470248	snoU31b	0.5						1.0	0.6										0.6			0.4		0.4
ENSRNA049470257	snoU31b	1.0						0.6											1.0			0.4		
ENSRNA049470306	U6													5.0										
ENSRNA049470312	U1													2.0								0.2		
ENSRNA049470333	U1	0.3								0.4		0.4						1.0				0.2		
ENSRNA049470554	mir-156																		0.4			11.0		5.0
ENSRNA049470569	snoR83	1.0	0.4			0.6		0.5	0.8	4.0	1.0	2.0	2.0	21.0	1.0	1.0	2.0	1.0	1.0	0.5	0.7	0.9	1.0	15.0
ENSRNA049470723	U1	0.5	0.3		0.6	0.4				0.8				0.9			1.0	0.9	0.2			0.5	0.4	0.6
ENSRNA049470793	snoR126	2.0	3.0	1.0	5.0	5.0	5.0	7.0			4.0	0.8	1.0			6.0	7.0	0.7	1.0	1.0	1.0	8.0	2.0	1.0
ENSRNA049470799	snoR126	2.0	0.6	0.6	1.0	4.0	1.0	6.0		0.7	1.0					4.0	4.0			0.9	0.8	2.0	2.0	0.7
ENSRNA049470807	snoR126	2.0	1.0	0.6	4.0	3.0	5.0	6.0	2.0		2.0		0.6			4.0	5.0		0.8		2.0	5.0	3.0	0.7
ENSRNA049470888	SSU_rRNA_eukarya	0.3						2.0																
